id,player,height,weight,college,age,two_points,two_point_percentage,fta,ast,pts,mayor500
1159,James Worthy*,185,83,University of Wyoming,26,441,44%,344,214,1167,1
1160,Thurl Bailey,185,83,University of Wyoming,27,625,43%,491,377,1662,1
1161,Randy Breuer,185,83,University of Wyoming,27,124,42%,114,57,343,0
1162,Wallace Bryant,185,83,University of Wyoming,27,501,44%,377,320,1319,1
1163,Howard Carter,185,83,University of Wyoming,28,663,48%,489,449,1765,1
1164,Carlos Clark,185,83,University of Wyoming,29,374,46%,228,138,943,1
1165,Leroy Combs,185,83,University of Wyoming,30,262,49%,129,138,635,1
1166,Russell Cross,185,83,University of Wyoming,31,133,46%,39,85,298,0
1167,Darren Daye,185,83,University of Wyoming,31,14,50%,8,8,34,0
1168,Clyde Drexler*,185,83,University of Wyoming,31,119,46%,31,77,264,0
1169,Craig Ehlo,196,98,University of Michigan,22,344,44%,228,187,867,1
1170,Dale Ellis,196,98,University of Michigan,23,551,46%,349,195,1384,1
1171,Rod Foster,196,98,University of Michigan,24,362,45%,240,115,915,1
1172,John Garris,196,98,University of Michigan,25,385,50%,160,135,894,1
1173,Mike Gibson,196,98,University of Michigan,26,216,43%,119,77,524,1
1174,Stewart Granger,196,98,University of Michigan,27,689,46%,378,248,1693,1
1175,Sidney Green,196,98,University of Michigan,28,541,46%,199,187,1254,1
1176,Bob Hansen,196,98,University of Michigan,29,738,48%,249,192,1684,1
1177,Derek Harper,196,98,University of Michigan,30,264,46%,113,109,629,1
1178,Roy Hinson,196,98,University of Michigan,31,371,46%,148,122,874,1
1179,Charles Jones,196,98,University of Michigan,32,578,49%,219,210,1344,1
1180,Mark Jones,196,98,University of Michigan,33,133,44%,57,61,315,0
1181,Greg Kite,190,92,Purdue University,22,40,36%,22,23,94,0
1182,Bruce Kuczenski,190,92,Purdue University,23,47,34%,38,37,114,0
1183,Sidney Lowe,196,93,Davidson College,22,144,43%,61,59,334,0
1184,Jeff Malone,196,93,Davidson College,23,257,42%,167,164,643,1
1185,Pace Mannion,196,93,Davidson College,24,399,47%,255,211,983,1
1186,Rodney McCray,196,93,Davidson College,25,456,53%,208,342,1081,1
1187,Scooter McCray,196,93,Davidson College,25,22,49%,8,9,51,0
1188,Larry Micheaux,196,93,Davidson College,25,434,53%,200,333,1030,1
1189,John Paxson,196,93,Davidson College,26,645,53%,361,352,1592,1
1190,John Pinone,196,93,Davidson College,27,496,53%,259,283,1210,1
1191,Tom Piotrowski,196,93,Davidson College,28,473,46%,216,311,1132,1
1192,Leo Rautins,196,93,Davidson College,29,572,48%,224,265,1338,1
1193,Doc Rivers,196,93,Davidson College,30,498,50%,195,281,1161,1
1194,Fred Roberts,196,93,Davidson College,31,441,50%,188,220,1037,1
1195,Ralph Sampson*,196,93,Davidson College,32,316,46%,149,160,759,1
1196,Byron Scott,196,93,Davidson College,33,112,44%,64,56,280,0
1197,Steve Stipanovich,196,93,Davidson College,34,81,43%,51,63,205,0
1198,Jon Sundvold,201,95,Oklahoma City University,22,30,31%,17,6,70,0
1199,Dane Suttle,201,95,Oklahoma City University,23,25,26%,34,7,73,0
1200,Jim Thomas,211,99,University of Kansas,22,131,39%,123,19,314,0
1201,Paul Thompson,211,99,University of Kansas,23,188,47%,152,34,452,0
1202,Sedale Threatt,211,99,University of Kansas,24,245,46%,207,47,624,1
1203,Granville Waiters,211,99,University of Kansas,25,270,42%,219,68,685,1
1204,Darrell Walker,211,99,University of Kansas,26,565,46%,473,83,1455,1
1205,Brant Weidner,211,99,University of Kansas,27,412,41%,291,76,1020,1
1206,Mark West,211,99,University of Kansas,28,77,38%,46,31,180,0
1207,Ennis Whatley,211,99,University of Kansas,28,14,30%,12,7,36,0
1208,Mitchell Wiggins,211,99,University of Kansas,28,63,41%,34,24,144,0
1209,Kevin Williams,211,99,University of Kansas,29,71,47%,43,14,168,0
1210,Michael Wilson,211,99,University of Kansas,30,42,45%,27,12,100,0
1211,Randy Wittman,211,99,University of Kansas,30,5,56%,4,1,12,0
1212,Chuck Aleksinas,211,99,University of Kansas,30,37,44%,23,11,88,0
1213,Ron Anderson,211,99,University of Kansas,31,1,50%,4,1,4,0
1214,Ken Bannister,196,92,Princeton University,24,142,42%,104,137,360,0
1215,Charles Barkley*,196,92,Princeton University,25,407,43%,253,302,1020,1
1216,Cory Blackwell,196,92,Princeton University,26,413,46%,176,268,971,1
1217,Sam Bowie,196,92,Princeton University,27,413,45%,175,280,970,1
1218,Frank Brickowski,196,92,Princeton University,28,504,47%,199,315,1177,1
1219,Tony Brown,196,92,Princeton University,29,575,46%,194,367,1319,1
1220,Steve Burtt,196,92,Princeton University,30,502,45%,167,242,1150,1
1221,Michael Cage,196,92,Princeton University,31,452,44%,165,247,1048,1
1222,Tony Campbell,196,92,Princeton University,32,392,43%,148,247,914,1
1223,Rick Carlisle,196,92,Princeton University,33,127,46%,42,128,288,0
1224,Antoine Carr,193,95,St. Bonaventure University,24,1,50%,1,1,3,0
1225,Ron Cavenall,206,102,University of Colorado,26,61,44%,64,13,147,0
1226,Steve Colter,206,102,University of Colorado,27,265,47%,231,97,684,1
1227,Devin Durrant,206,102,University of Colorado,28,438,46%,318,238,1116,1
1228,Kenton Edelin,206,102,University of Colorado,29,241,48%,288,108,677,1
1229,Kenny Fields,206,102,University of Colorado,30,147,44%,154,51,394,0
1230,Vern Fleming,206,102,University of Colorado,30,8,24%,18,8,26,0
1231,Lancaster Gordon,206,102,University of Colorado,30,18,33%,38,5,62,0
1232,Butch Graves,206,102,University of Colorado,30,121,48%,98,38,306,0
1233,Stuart Gray,206,102,University of Colorado,31,131,51%,114,56,334,0
1234,Mike Holton,206,102,University of Colorado,32,117,41%,139,86,324,0
1235,Jay Humphries,206,102,University of Colorado,33,118,45%,117,90,321,0
1236,Earl Jones,201,89,St. John's University,22,22,29%,26,11,56,0
1237,Ozell Jones,201,89,St. John's University,23,47,47%,36,12,118,0
1238,Michael Jordan*,208,104,University of South Carolina,24,66,41%,108,29,198,0
1239,Jerome Kersey,208,104,University of South Carolina,24,32,41%,56,12,100,0
1240,Tim McCormick,208,104,University of South Carolina,24,34,42%,52,17,98,0
1241,Jay Murphy,208,104,University of South Carolina,25,318,47%,267,166,827,1
1242,Hakeem Olajuwon*,208,104,University of South Carolina,25,45,47%,53,23,124,0
1243,Sam Perkins,208,104,University of South Carolina,25,273,47%,214,143,703,1
1244,Jim Petersen,208,104,University of South Carolina,26,413,52%,283,93,1044,1
1245,Gary Plummer,208,104,University of South Carolina,27,280,46%,321,196,799,1
1246,David Pope,208,104,University of South Carolina,28,354,45%,297,86,935,1
1247,Alvin Robertson,208,104,University of South Carolina,28,20,38%,28,6,60,0
1248,Wayne Sappleton,208,104,University of South Carolina,28,334,45%,269,80,875,1
1249,Tom Scheffler,208,104,University of South Carolina,29,316,52%,265,176,846,1
1250,John Schweitz,208,104,University of South Carolina,30,322,48%,293,227,885,1
1251,Tom Sewell,208,104,University of South Carolina,31,253,47%,212,137,676,1
1252,Charlie Sitton,208,104,University of South Carolina,32,105,52%,79,42,272,0
1253,Tom Sluby,208,104,University of South Carolina,33,184,46%,114,49,463,0
1254,Terence Stansbury,193,90,Southern Illinois University,22,256,45%,235,305,666,1
1255,John Stockton*,193,90,Southern Illinois University,23,531,51%,457,635,1403,1
1256,Peter Thibeaux,193,90,Southern Illinois University,24,600,52%,547,629,1609,1
1257,Bernard Thompson,193,90,Southern Illinois University,25,651,49%,557,536,1736,1
1258,Otis Thorpe,193,90,Southern Illinois University,26,669,51%,557,446,1788,1
1259,Jeff Turner,193,90,Southern Illinois University,27,681,49%,350,461,1648,1
1260,Melvin Turpin,193,90,Southern Illinois University,28,674,47%,352,551,1643,1
1261,Willie White,193,90,Southern Illinois University,29,672,48%,400,474,1675,1
1262,Dale Wilkinson,193,90,Southern Illinois University,30,470,49%,226,351,1126,1
1263,Guy Williams,193,90,Southern Illinois University,31,532,49%,336,403,1323,1
1264,Kevin Willis,193,90,Southern Illinois University,32,336,47%,180,209,825,1
1265,Othell Wilson,193,90,Southern Illinois University,33,54,44%,27,32,129,0
1266,Leon Wood,193,90,Southern Illinois University,34,4,40%,2,8,10,0
1267,Danny Young,203,95,Arizona State University,23,54,50%,13,30,121,0
1268,Michael Young,203,95,Arizona State University,24,37,55%,5,8,76,0
1269,Michael Adams,190,88,Western Kentucky University,24,273,42%,202,165,679,1
1270,John Battle,190,88,Western Kentucky University,25,537,42%,361,306,1356,1
1271,Benoit Benjamin,190,88,Western Kentucky University,26,668,45%,424,624,1668,1
1272,Uwe Blab,190,88,Western Kentucky University,27,562,44%,431,383,1462,1
1273,Manute Bol,190,88,Western Kentucky University,28,509,48%,258,290,1238,1
1274,Mike Brittain,190,88,Western Kentucky University,29,339,46%,156,203,808,1
1275,Terry Catledge,190,88,Western Kentucky University,30,364,46%,203,259,899,1
1276,Lorenzo Charles,190,88,Western Kentucky University,31,115,40%,63,79,283,0
1277,Fred Cofield,190,88,Western Kentucky University,32,148,55%,65,73,350,0
1278,David Cooke,203,99,University of North Dakota,22,182,40%,168,55,463,0
1279,Tyrone Corbin,203,99,University of North Dakota,23,126,43%,119,43,332,0
1280,Ron Crevier,203,99,University of North Dakota,25,118,45%,133,31,331,0
1281,Jeff Cross,203,99,University of North Dakota,26,205,44%,228,72,577,1
1282,Joe Dumars*,203,99,University of North Dakota,27,245,44%,195,94,644,1
1283,Patrick Ewing*,203,99,University of North Dakota,28,361,48%,246,134,913,1
1284,Ken Green,203,99,University of North Dakota,29,324,46%,253,136,841,1
1285,Kenny Green,203,99,University of North Dakota,30,185,48%,150,105,480,0
1286,Claude Gregory,203,99,University of North Dakota,31,102,44%,71,85,255,0
1287,Steve Harris,203,99,University of North Dakota,32,55,48%,56,46,153,0
1288,Jerome Henderson,203,99,University of North Dakota,33,144,48%,105,85,374,0
1289,Carl Henry,203,99,University of North Dakota,34,29,66%,10,12,65,0
1290,Ken Johnson,201,92,"California State University, Los Angeles",24,86,34%,68,26,214,0
1291,Harold Keeling,198,102,University of Texas at El Paso,24,37,36%,33,14,97,0
1292,Joe Kleine,198,102,University of Texas at El Paso,25,150,41%,172,48,409,0
1293,Jon Koncak,183,81,Campbell University,25,59,34%,43,93,153,0
1294,Keith Lee,183,81,Campbell University,26,26,39%,12,27,60,0
1295,Karl Malone*,188,81,Wake Forest University,23,23,45%,15,12,57,0
1296,Bill Martin,188,81,Wake Forest University,25,28,45%,38,17,83,0
1297,Brian Martin,188,81,Wake Forest University,26,57,48%,24,25,134,0
1298,Dwayne McClain,201,95,Jackson State University,24,112,43%,99,32,284,0
1299,Xavier McDaniel,201,95,Jackson State University,25,129,45%,54,21,293,0
1300,Ben McDonald,201,95,Jackson State University,26,119,37%,56,36,280,0
1301,Chris McNealy,201,95,Jackson State University,26,32,49%,8,2,69,0
1302,Dirk Minniefield,201,95,Jackson State University,26,87,34%,48,34,211,0
1303,Perry Moss,201,95,Jackson State University,27,243,44%,93,111,561,1
1304,Chris Mullin*,196,88,New York University,23,73,40%,88,24,204,0
1305,Charles Oakley,196,88,New York University,24,264,43%,287,123,747,1
1306,Michael Phelps,196,88,New York University,25,81,39%,73,52,220,0
1307,Ed Pinckney,196,88,New York University,26,398,44%,396,235,1127,1
1308,Terry Porter,196,88,New York University,27,410,49%,379,148,1135,1
1309,Blair Rasmussen,196,88,New York University,28,48,40%,37,23,126,0
1310,Jerry Reynolds,196,88,New York University,28,13,36%,16,8,40,0
1311,Derrick Rowland,196,88,New York University,28,35,42%,21,15,86,0
1312,Detlef Schrempf,196,88,New York University,29,7,29%,8,6,20,0
1313,Carey Scurry,196,92,University of Notre Dame,24,8,26%,7,1,20,0
1314,Mike Smrek,196,92,University of Notre Dame,25,2,20%,7,0,9,0
1315,Alex Stivrins,190,83,Winston-Salem State University,23,742,45%,649,349,1991,1
1316,Greg Stokes,190,83,Winston-Salem State University,24,809,44%,582,392,2065,1
1317,Bob Thornton,190,83,Winston-Salem State University,25,695,45%,641,402,1922,1
1318,Wayman Tisdale,190,83,Winston-Salem State University,26,663,44%,506,354,1732,1
1319,Sedric Toney,190,83,Winston-Salem State University,27,287,43%,224,142,749,1
1320,Nick Vanos,190,83,Winston-Salem State University,27,26,41%,18,10,65,0
1321,Sam Vincent,190,83,Winston-Salem State University,27,261,44%,206,132,684,1
1322,Spud Webb,190,83,Winston-Salem State University,28,496,49%,208,288,1163,1
1323,Bill Wennington,190,83,Winston-Salem State University,29,240,47%,113,110,573,1
1324,Gerald Wilkins,190,83,Winston-Salem State University,30,668,46%,359,270,1633,1
1325,Pete Williams,190,83,Winston-Salem State University,31,647,48%,356,304,1574,1
1326,Rafael Addison,190,83,Winston-Salem State University,32,613,52%,366,366,1533,1
1327,Mark Alarie,190,83,Winston-Salem State University,33,556,50%,291,361,1354,1
1328,William Bedford,190,83,Winston-Salem State University,34,329,47%,154,189,787,1
1329,Walter Berry,190,83,Winston-Salem State University,35,161,46%,64,67,378,0
1330,Joe Binion,193,92,University of Kentucky,22,250,38%,202,138,628,1
1331,Adrian Branch,193,92,University of Kentucky,23,202,41%,134,136,494,0
1332,Mike Brown,193,92,University of Kentucky,24,75,42%,55,85,190,0
1333,Ben Coleman,193,92,University of Kentucky,25,105,41%,87,72,266,0
1334,Dell Curry,193,92,University of Kentucky,26,197,45%,74,75,449,0
1335,Brad Daugherty,193,92,University of Kentucky,27,167,43%,82,81,399,0
1336,Johnny Dawkins,193,92,University of Kentucky,28,287,43%,144,148,684,1
1337,Bruce Douglas,193,92,University of Kentucky,29,219,42%,93,121,507,1
1338,Greg Dreiling,193,92,University of Kentucky,30,117,39%,77,57,289,0
1339,Kevin Duckworth,193,92,University of Kentucky,30,5,39%,3,0,11,0
1340,Dave Feitl,193,92,University of Kentucky,30,112,39%,74,57,278,0
1341,Kenny Gattison,206,99,Colorado State University,23,568,49%,529,99,1484,1
1342,Grant Gondrezick,206,99,Colorado State University,24,776,47%,606,141,1965,1
1343,Ron Harper,206,99,Colorado State University,25,789,46%,542,144,1965,1
1344,Cedric Henderson,206,99,Colorado State University,26,47,48%,30,7,119,0
1345,Kevin Henderson,206,99,Colorado State University,27,461,44%,335,116,1148,1
1346,Conner Henry,206,99,Colorado State University,27,45,36%,43,6,113,0
1347,Jeff Hornacek,206,99,Colorado State University,27,416,45%,292,110,1035,1
1348,Myron Jackson,206,99,Colorado State University,28,60,38%,31,38,140,0
1349,Buck Johnson,206,99,Colorado State University,28,60,38%,31,37,140,0
1350,Steffond Johnson,206,99,Colorado State University,29,76,40%,46,47,186,0
1351,Anthony Jones,203,86,Oklahoma Baptist University,24,437,44%,263,111,1060,1
1352,Tim Kempton,203,86,Oklahoma Baptist University,25,361,45%,244,74,880,1
1353,Curtis Kitchen,203,86,Oklahoma Baptist University,25,235,43%,171,55,579,1
1354,Larry Krystkowiak,203,86,Oklahoma Baptist University,25,126,48%,73,19,301,0
1355,Jim Lampley,203,86,Oklahoma Baptist University,26,146,51%,87,38,362,0
1356,Maurice Martin,203,86,Oklahoma Baptist University,26,97,51%,45,31,231,0
1357,Forrest McKenzie,203,86,Oklahoma Baptist University,26,49,51%,42,7,131,0
1358,Nate McMillan,203,86,Oklahoma Baptist University,27,52,45%,31,7,129,0
1359,Pete Myers,190,88,Providence College,23,289,39%,175,226,712,1
1360,Johnny Newman,190,88,Providence College,24,312,47%,229,221,806,1
1361,Dennis Nutt,190,88,Providence College,25,666,48%,440,248,1687,1
1362,Chuck Person,190,88,Providence College,26,524,44%,414,268,1392,1
1363,Harold Pressley,190,88,Providence College,27,634,46%,480,315,1665,1
1364,Mark Price,190,88,Providence College,28,605,47%,276,442,1454,1
1365,Dennis Rodman*,190,88,Providence College,29,582,47%,333,307,1437,1
1366,Johnny Rogers,190,88,Providence College,29,7,58%,1,4,14,0
1367,Ron Rowan,190,88,Providence College,29,575,47%,332,303,1423,1
1368,John Salley,190,88,Providence College,30,553,48%,289,226,1353,1
1369,Brad Sellers,190,88,Providence College,31,459,48%,267,176,1149,1
1370,Scott Skiles,196,86,Virginia Polytechnic Institute and State University,23,52,44%,46,51,139,0
1371,Clinton Smith,196,86,Virginia Polytechnic Institute and State University,26,124,43%,101,114,331,0
1372,Keith Smith,196,86,Virginia Polytechnic Institute and State University,27,31,38%,30,56,86,0
1373,Otis Smith,196,86,Virginia Polytechnic Institute and State University,28,42,45%,17,39,98,0
1374,Roy Tarpley,196,86,Virginia Polytechnic Institute and State University,29,107,43%,57,138,255,0
1375,Billy Thompson,196,86,Virginia Polytechnic Institute and State University,30,87,43%,77,77,242,0
1376,Andre Turner,196,86,Virginia Polytechnic Institute and State University,31,22,48%,24,19,64,0
1377,Kenny Walker,198,88,Central State University,23,5,56%,4,2,11,0
1378,Chris Washburn,198,88,Central State University,24,3,38%,4,1,7,0
1379,Pearl Washington,185,81,"California State Polytechnic University, Pomona",28,265,37%,165,391,643,1
1380,John Williams,185,81,"California State Polytechnic University, Pomona",29,227,38%,149,524,559,1
1381,David Wingate,185,81,"California State Polytechnic University, Pomona",30,189,41%,118,503,466,0
1382,Brad Wright,185,81,"California State Polytechnic University, Pomona",31,150,46%,83,233,360,0
1383,Perry Young,185,81,"California State Polytechnic University, Pomona",32,161,48%,119,327,412,0
1384,Mark Acres,185,81,"California State Polytechnic University, Pomona",33,110,42%,56,236,263,0
1385,Steve Alford,185,81,"California State Polytechnic University, Pomona",34,73,44%,32,163,173,0
